iter	RMSE
0	40.35803124
1	40.32964455
2	40.26426097
3	40.22929216
4	40.19339619
5	40.16116191
6	40.13171046
7	40.08992545
8	40.04557359
9	40.01376902
10	39.98777052
11	39.94332578
12	39.9081699
13	39.87126539
14	39.84786267
15	39.82281177
16	39.77758981
17	39.73979634
18	39.70929218
19	39.68501028
20	39.65859895
21	39.62714638
22	39.58897539
23	39.51333328
24	39.48209011
25	39.45764907
26	39.43844399
27	39.39898906
28	39.36870816
29	39.32992395
30	39.30883924
31	39.27902772
32	39.22723211
33	39.20510884
34	39.17457546
35	39.14355594
36	39.11754147
37	39.08682424
38	39.06143186
39	39.01822962
40	38.98356343
41	38.96401702
42	38.93735719
43	38.91590042
44	38.90132867
45	38.87829673
46	38.85116987
47	38.81974928
48	38.80488311
49	38.77953635
50	38.75498576
51	38.68531929
52	38.65482115
53	38.63814049
54	38.618422
55	38.59881576
56	38.57324851
57	38.54451528
58	38.51767162
59	38.49153878
60	38.43729173
61	38.41391819
62	38.38840088
63	38.35683134
64	38.32595873
65	38.30947847
66	38.28845293
67	38.26945162
68	38.25139946
69	38.23925641
70	38.21530361
71	38.18859142
72	38.16760804
73	38.13242926
74	38.10894015
75	38.08044613
76	38.05741268
77	38.03531669
78	37.99614023
79	37.97569061
80	37.95726022
81	37.93210435
82	37.89446467
83	37.87739713
84	37.84979681
85	37.82627555
86	37.80260985
87	37.78534188
88	37.76530795
89	37.73931086
90	37.7229298
91	37.70547046
92	37.67307606
93	37.65173962
94	37.63169496
95	37.60795179
96	37.58418895
97	37.56310722
98	37.53996354
99	37.50128052
100	37.476452
101	37.45971592
102	37.44248197
103	37.42793237
104	37.40255655
105	37.37933249
106	37.35771768
107	37.3331149
108	37.30879934
109	37.27830004
110	37.26394519
111	37.23192563
112	37.21647494
113	37.18260658
114	37.17133518
115	37.15501061
116	37.09326473
117	37.07958594
118	37.05733559
119	37.04064155
120	37.02426668
121	37.00028586
122	36.97801432
123	36.94825461
124	36.92493897
125	36.8821815
126	36.84912346
127	36.82452055
128	36.80412913
129	36.78396275
130	36.76061194
131	36.74310384
132	36.71986018
133	36.70156796
134	36.68520658
135	36.66600002
136	36.65207563
137	36.63368956
138	36.59047844
139	36.56953591
140	36.53451718
141	36.48167893
142	36.45682722
143	36.44017624
144	36.41481078
145	36.39020369
146	36.36927108
147	36.34628642
148	36.3211401
149	36.30069038
150	36.27928359
151	36.26629936
152	36.24204898
153	36.21690918
154	36.20175881
155	36.17330141
156	36.15872741
157	36.14026636
158	36.11956761
159	36.0937178
160	36.04530788
161	36.02292884
162	35.99388553
163	35.96606212
164	35.94515429
165	35.9246579
166	35.90971359
167	35.89314358
168	35.86901765
169	35.84091087
170	35.81961088
171	35.80108282
172	35.7833904
173	35.76371698
174	35.75119578
175	35.73660793
176	35.71496283
177	35.69779214
178	35.67920654
179	35.65757474
180	35.64074193
181	35.6230099
182	35.60083323
183	35.58048176
184	35.55916623
185	35.53977907
186	35.51374018
187	35.45625536
188	35.4350668
189	35.41402824
190	35.39089781
191	35.36934027
192	35.34623826
193	35.32361852
194	35.30233159
195	35.28199661
196	35.25797323
197	35.2289029
198	35.19870244
199	35.17754989
200	35.15410118
201	35.13401568
202	35.11428101
203	35.09435445
204	35.07532084
205	35.05481421
206	35.03414381
207	35.01215784
208	34.99227601
209	34.96939167
210	34.92985289
211	34.89694281
212	34.87544877
213	34.85541715
214	34.83421246
215	34.81669819
216	34.76765902
217	34.70448676
218	34.64417026
219	34.62204361
220	34.54948086
221	34.53060249
222	34.51058854
223	34.49110096
224	34.46632324
225	34.44778542
226	34.42968674
227	34.41119792
228	34.34822579
229	34.32989263
230	34.31180689
231	34.2864696
232	34.26842541
233	34.251076
234	34.23413691
235	34.21815345
236	34.19647251
237	34.17994
238	34.16249047
239	34.13196074
240	34.10079438
241	34.07763893
242	34.05187935
243	34.00875862
244	33.99196645
245	33.97519467
246	33.9472071
247	33.92119126
248	33.9047955
249	33.88843142
250	33.8617793
251	33.8459388
252	33.83034378
253	33.81077153
254	33.75825051
255	33.74392616
256	33.6882958
257	33.67378573
258	33.65455328
259	33.63947447
260	33.62461222
261	33.60208785
262	33.58722813
263	33.54456103
264	33.5190346
265	33.50457947
266	33.4817427
267	33.46144207
268	33.43931032
269	33.41794852
270	33.40346322
271	33.38040734
272	33.35751966
273	33.30686764
274	33.29348733
275	33.27755238
276	33.26330346
277	33.24921301
278	33.23552268
279	33.20476116
280	33.19206591
281	33.17833937
282	33.15753864
283	33.13939912
284	33.12673984
285	33.11276641
286	33.09253874
287	33.07662711
288	33.06304384
289	33.05024231
290	33.03725993
291	33.02410904
292	33.01113006
293	32.99802054
294	32.97516827
295	32.94314042
296	32.87124012
297	32.85951309
298	32.84378337
299	32.83092017
300	32.81485194
301	32.76374097
302	32.75108063
303	32.7387266
304	32.72612739
305	32.70858353
306	32.69392804
307	32.68166867
308	32.66961764
309	32.6575114
310	32.64517778
311	32.6274196
312	32.61560976
313	32.60391243
314	32.59246265
315	32.57643963
316	32.56469612
317	32.55292272
318	32.54176517
319	32.52389627
320	32.48865294
321	32.47701805
322	32.46585451
323	32.45469446
324	32.44391304
325	32.43289128
326	32.41768874
327	32.40337819
328	32.392729
329	32.38183627
330	32.37097549
331	32.35314141
332	32.34199382
333	32.33119337
334	32.32047497
335	32.30942776
336	32.29005722
337	32.24573552
338	32.23554857
339	32.22507747
340	32.17183829
341	32.16136677
342	32.15054425
343	32.13315846
344	32.12324981
345	32.10500579
346	32.09429591
347	32.08407058
348	32.07386051
349	32.06370869
350	32.05347988
351	32.04347107
352	32.02860859
353	32.01906102
354	32.00404543
355	31.99345025
356	31.95670504
357	31.94328658
358	31.93287957
359	31.92253076
360	31.91270736
361	31.90294616
362	31.89323427
363	31.88351448
364	31.8414834
365	31.83130805
366	31.81807766
367	31.80846194
368	31.79888744
369	31.75913245
370	31.74891057
371	31.73414637
372	31.72092438
373	31.70888721
374	31.69667923
375	31.66939138
376	31.66004223
377	31.6500795
378	31.64023752
379	31.6309128
380	31.61720918
381	31.60684351
382	31.59715151
383	31.58761708
384	31.57728675
385	31.5680565
386	31.54063682
387	31.53070641
388	31.51369971
389	31.50404131
390	31.46589733
391	31.41710419
392	31.4073414
393	31.39554522
394	31.38650931
395	31.35634113
396	31.33346444
397	31.32447751
398	31.31549056
399	31.28084526
400	31.26728588
401	31.22574795
402	31.20998645
403	31.20112714
404	31.19172746
405	31.17953142
406	31.17015636
407	31.16139895
408	31.15252784
409	31.14384833
410	31.13608457
411	31.12748929
412	31.1183114
413	31.10982177
414	31.10120882
415	31.08828206
416	31.07916957
417	31.07072464
418	31.06291084
419	31.05012232
420	31.04109578
421	31.03260674
422	31.02368584
423	31.01538059
424	31.00703549
425	30.99447471
426	30.94661168
427	30.91151491
428	30.89912664
429	30.85417646
430	30.84533297
431	30.83621121
432	30.82925914
433	30.82046065
434	30.8124285
435	30.80434108
436	30.76222875
437	30.75414613
438	30.74689533
439	30.73516135
440	30.72739806
441	30.72008684
442	30.71150989
443	30.68643243
444	30.67932237
445	30.67135973
446	30.66284086
447	30.61326248
448	30.60044851
449	30.5925586
450	30.58155702
451	30.5730268
452	30.56541369
453	30.55694723
454	30.54925744
455	30.54176116
456	30.50885806
457	30.49940629
458	30.49238177
459	30.48426006
460	30.4772763
461	30.43670505
462	30.42843278
463	30.42151787
464	30.38113213
465	30.37365194
466	30.3655036
467	30.3574141
468	30.35065764
469	30.34036703
470	30.33232376
471	30.32630556
472	30.3192078
473	30.31192167
474	30.30024899
475	30.29299067
476	30.27923729
477	30.2727173
478	30.24768216
479	30.239814
480	30.23282532
481	30.22099654
482	30.1968079
483	30.19033504
484	30.18391453
485	30.17640249
486	30.1693322
487	30.16164951
488	30.14031489
489	30.1326214
490	30.12661636
491	30.12021544
492	30.10390538
493	30.09687379
494	30.08718129
495	30.08028444
496	30.07326729
497	30.02952965
498	30.02260424
499	30.01507729
500	29.97937269
501	29.95829525
502	29.95145681
503	29.94530436
504	29.93870241
505	29.90557065
506	29.88608728
507	29.87927155
508	29.82998385
509	29.82304164
510	29.81696023
511	29.80642122
512	29.78652293
513	29.77985794
514	29.76982627
515	29.75969403
516	29.75300468
517	29.74635816
518	29.73901869
519	29.73239713
520	29.72188308
521	29.71517529
522	29.70821867
523	29.70167781
524	29.69447854
525	29.68859577
526	29.6815332
527	29.67440072
528	29.66791422
529	29.66185956
530	29.6548427
531	29.6477957
532	29.64078643
533	29.60586156
534	29.59885219
535	29.59203577
536	29.57300336
537	29.56607237
538	29.54810519
539	29.54198352
540	29.52258466
541	29.51704255
542	29.50704937
543	29.50032682
544	29.45978976
545	29.45311079
546	29.44622088
547	29.44070708
548	29.40835206
549	29.40149011
550	29.39537146
551	29.38882889
552	29.38277146
553	29.376092
554	29.36961756
555	29.3375956
556	29.33181856
557	29.32208395
558	29.31536774
559	29.30880912
560	29.28671601
561	29.27816615
562	29.27163252
563	29.2653422
564	29.237449
565	29.20034057
566	29.19405543
567	29.18824943
568	29.15280013
569	29.14614998
570	29.14054865
571	29.10232989
572	29.09593402
573	29.08949713
574	29.08317958
575	29.07720771
576	29.07222277
577	29.0662863
578	29.06026179
579	29.0446753
580	29.03825309
581	29.02836493
582	29.02334357
583	29.01333754
584	28.98589327
585	28.97964232
586	28.97330958
587	28.96779842
588	28.96160969
589	28.9553673
590	28.94540257
591	28.94022783
592	28.92165476
593	28.89520661
594	28.87860517
595	28.87280981
596	28.8640828
597	28.85842041
598	28.83314027
599	28.80508498
600	28.79655819
601	28.7656616
602	28.75718717
603	28.75132647
604	28.74581283
605	28.74012483
606	28.73436442
607	28.7249304
608	28.7188635
609	28.70905001
610	28.70345214
611	28.69510989
612	28.66958556
613	28.66014875
614	28.65202443
615	28.64584833
616	28.64007969
617	28.63443494
618	28.62845682
619	28.61910177
620	28.61017592
621	28.60520996
622	28.59961565
623	28.59165769
624	28.58581425
625	28.57990663
626	28.57485202
627	28.56968385
628	28.5615129
629	28.55617803
630	28.52724559
631	28.52139628
632	28.51611869
633	28.51058928
634	28.50526757
635	28.4994795
636	28.49427635
637	28.48813047
638	28.46040697
639	28.45517399
640	28.44669294
641	28.44182466
642	28.43619172
643	28.42842804
644	28.42076968
645	28.41508002
646	28.40993604
647	28.3944188
648	28.38934028
649	28.38449588
650	28.37897521
651	28.37389571
652	28.3519154
653	28.34646457
654	28.33915472
655	28.30987664
656	28.30475552
657	28.28127522
658	28.27576358
659	28.25240703
660	28.24691242
661	28.24275467
662	28.23562022
663	28.22897453
664	28.22382232
665	28.21839517
666	28.2129791
667	28.18809691
668	28.18317879
669	28.17784141
670	28.17266023
671	28.16769797
672	28.16275579
673	28.15739419
674	28.15218702
675	28.14688913
676	28.13830979
677	28.13349055
678	28.12659407
679	28.12155162
680	28.11308027
681	28.10821551
682	28.10349012
683	28.09798077
684	28.09327386
685	28.08538642
686	28.06356625
687	28.05825132
688	28.05339292
689	28.04820048
690	28.04203798
691	28.03698506
692	28.01919949
693	28.01407749
694	28.00884887
695	28.00144866
696	27.99625838
697	27.99140822
698	27.98630095
699	27.96080918
700	27.95623141
701	27.94817315
702	27.94198586
703	27.91951695
704	27.91293498
705	27.90836834
706	27.90333488
707	27.89617995
708	27.89153442
709	27.88530572
710	27.88021437
711	27.8760837
712	27.87111462
713	27.86649174
714	27.86145127
715	27.85662398
716	27.85214914
717	27.84770472
718	27.83389327
719	27.79874615
720	27.79415291
721	27.78914509
722	27.78463256
723	27.78066642
724	27.77578829
725	27.74404192
726	27.73891544
727	27.73336805
728	27.7149768
729	27.701945
730	27.69792889
731	27.69358426
732	27.68786776
733	27.68117847
734	27.67581828
735	27.66918986
736	27.66448096
737	27.65762337
738	27.65258594
739	27.64784508
740	27.64157301
741	27.63722416
742	27.63236765
743	27.62755751
744	27.62251219
745	27.61858044
746	27.61249852
747	27.60563432
748	27.60091552
749	27.59612472
